Time1,ECG,Time2,PPG
0.007,110,0.156,-477
0.014,101,0.161,-603
0.022,94,0.167,-644
0.03,87,0.173,-895
0.038,82,0.179,-832
0.045,39,0.184,-1001
0.053,2,0.19,-993
0.061,32,0.196,-1168
0.068,85,0.201,-1187
0.076,94,0.207,-1025
0.084,-2,0.213,-1071
0.091,-138,0.218,-1011
0.099,-152,0.224,-950
0.107,-76,0.23,-766
0.114,-36,0.235,-708
0.122,-18,0.241,-798
0.13,4,0.247,-576
0.138,9,0.252,-558
0.145,16,0.258,-357
0.153,39,0.264,-197
0.161,34,0.269,-167
0.168,0,0.275,34
0.176,-9,0.281,111
0.184,-6,0.286,96
0.191,-9,0.292,331
0.199,-2,0.298,405
0.207,25,0.304,623
0.214,29,0.309,603
0.222,-18,0.315,655
0.23,-50,0.321,669
0.238,-32,0.326,803
0.245,-16,0.332,890
0.253,-4,0.338,806
0.261,9,0.343,964
0.268,13,0.349,915
0.276,20,0.355,1085
0.284,9,0.36,1134
0.291,-27,0.366,1023
0.299,-46,0.372,1069
0.307,-16,0.377,1033
0.314,154,0.383,1177
0.322,502,0.389,1221
0.33,679,0.394,1152
0.338,214,0.4,1285
0.345,-580,0.406,1299
0.353,-720,0.411,1384
0.361,-290,0.417,1446
0.368,-170,0.423,1451
0.376,-297,0.43,1505
0.384,-255,0.435,1558
0.391,-193,0.441,1527
0.399,-269,0.447,1612
0.407,-322,0.452,1543
0.414,-264,0.458,1739
0.422,-218,0.464,1768
0.43,-198,0.47,1908
0.438,-147,0.475,1981
0.445,-117,0.481,1992
0.453,-96,0.487,2096
0.461,-52,0.492,2125
0.468,-16,0.498,2351
0.476,18,0.504,2325
0.484,62,0.509,2504
0.491,89,0.515,2460
0.499,115,0.521,2588
0.507,152,0.526,2609
0.515,175,0.532,2787
0.522,188,0.538,2928
0.53,200,0.543,3008
0.538,177,0.549,3126
0.545,152,0.555,3144
0.553,147,0.56,3223
0.561,105,0.566,3362
0.569,73,0.572,3413
0.576,76,0.577,3425
0.584,62,0.583,3578
0.592,59,0.589,3654
0.599,80,0.595,3632
0.607,82,0.6,3721
0.615,82,0.606,3717
0.622,18,0.612,3702
0.63,-112,0.617,3637
0.638,-133,0.623,3527
0.645,-57,0.629,3484
0.653,-39,0.634,3323
0.661,-34,0.64,3127
0.669,0,0.646,2923
0.676,18,0.651,2619
0.684,41,0.657,2375
0.692,78,0.663,2038
0.699,92,0.668,1928
0.707,85,0.674,1539
0.715,66,0.681,1352
0.722,36,0.687,1061
0.73,46,0.692,766
0.738,50,0.698,586
0.745,32,0.704,334
0.753,32,0.709,40
0.761,2,0.715,-116
0.769,-32,0.721,-298
0.776,-13,0.726,-328
0.784,-39,0.732,-521
0.792,-92,0.738,-589
0.799,-85,0.743,-722
0.807,-73,0.749,-604
0.815,-76,0.755,-826
0.822,-96,0.76,-779
0.83,-165,0.766,-759
0.838,-198,0.772,-755
0.845,-168,0.777,-726
0.853,-163,0.783,-723
0.861,-122,0.789,-634
0.869,140,0.795,-636
0.876,566,0.8,-529
0.884,681,0.806,-418
0.892,73,0.812,-410
0.899,-667,0.817,-233
0.907,-589,0.823,-42
0.915,-161,0.829,39
0.922,-158,0.834,141
0.93,-257,0.84,194
0.938,-237,0.846,327
0.945,-287,0.851,442
0.953,-294,0.857,600
0.961,-207,0.863,582
0.969,-168,0.868,684
0.976,-170,0.874,701
0.984,-152,0.88,703
0.992,-117,0.885,607
0.999,-73,0.891,825
1.007,-20,0.897,716
1.015,18,0.902,798
1.022,11,0.908,979
1.03,-9,0.914,788
1.038,11,0.92,924
1.045,69,0.927,691
1.053,124,0.932,829
1.061,147,0.938,748
1.069,154,0.944,806
1.076,154,0.949,976
1.084,165,0.955,857
1.092,188,0.961,1046
1.099,195,0.966,919
1.107,184,0.972,991
1.115,99,0.978,1017
1.123,-82,0.983,1068
1.13,-177,0.989,1192
1.138,-122,0.995,1137
1.146,-85,1,1125
1.153,-89,1.006,1204
1.161,-92,1.012,1282
1.169,-87,1.017,1225
1.176,-48,1.023,1339
1.184,4,1.029,1524
1.192,48,1.034,1545
1.199,71,1.04,1547
1.207,71,1.046,1603
1.215,76,1.052,1765
1.223,110,1.057,1864
1.23,154,1.063,1902
1.238,186,1.069,2025
1.246,200,1.074,2171
1.253,191,1.08,2157
1.261,172,1.086,2270
1.269,149,1.091,2554
1.276,85,1.097,2577
1.284,20,1.103,2609
1.292,13,1.108,2710
1.299,-34,1.114,2812
1.307,-94,1.12,2911
1.315,-48,1.125,3044
1.323,-16,1.131,3095
1.33,-117,1.137,3277
1.338,-228,1.142,3405
1.346,-241,1.148,3356
1.353,-221,1.154,3506
1.361,-195,1.159,3452
1.369,-145,1.165,3542
1.376,-94,1.171,3435
1.384,-82,1.177,3502
1.392,-92,1.182,3230
1.399,-89,1.189,3265
1.407,-41,1.195,3088
1.415,163,1.201,2984
1.423,575,1.206,2739
1.43,829,1.212,2414
1.438,338,1.218,2123
1.446,-488,1.223,1979
1.453,-543,1.229,1774
1.461,-99,1.235,1457
1.469,-64,1.24,1244
1.476,-228,1.246,966
1.484,-241,1.252,633
1.492,-218,1.257,580
1.499,-198,1.263,318
1.507,-154,1.269,129
1.515,-135,1.274,102
1.523,-195,1.28,-3
1.53,-239,1.286,-229
1.538,-188,1.291,-289
1.546,-122,1.297,-386
1.553,-80,1.303,-437
1.561,-39,1.308,-376
1.569,-16,1.314,-329
1.576,-13,1.32,-337
1.584,18,1.326,-387
1.592,82,1.331,-276
1.599,128,1.337,-295
1.607,152,1.343,-297
1.615,163,1.348,-142
1.623,140,1.354,-52
1.63,140,1.36,171
1.638,179,1.365,221
1.646,207,1.371,305
1.654,186,1.377,394
1.661,78,1.382,470
1.669,-27,1.388,650
1.677,-23,1.394,744
1.684,13,1.399,892
1.692,18,1.405,930
1.7,-2,1.411,1008
1.707,-71,1.416,968
1.715,-115,1.422,979
1.723,-73,1.428,1134
1.73,-11,1.433,1135
1.738,20,1.439,1199
1.746,36,1.445,1263
1.754,41,1.452,1259
1.761,18,1.458,1284
1.769,-11,1.463,1274
1.777,-2,1.469,1376
1.784,36,1.475,1395
1.792,57,1.48,1420
1.8,43,1.486,1373
1.807,32,1.492,1240
1.815,62,1.497,1360
1.823,96,1.503,1231
1.83,76,1.509,1421
1.838,-23,1.514,1264
1.846,-101,1.52,1300
1.854,-80,1.526,1433
1.861,-34,1.532,1420
1.869,-13,1.537,1436
1.877,-13,1.543,1511
1.884,-80,1.549,1557
1.892,-170,1.554,1530
1.9,-172,1.56,1551
1.907,-119,1.566,1516
1.915,-82,1.571,1532
1.923,-59,1.577,1551
1.93,-46,1.583,1569
1.938,-66,1.588,1695
1.946,-55,1.594,1692
1.954,175,1.6,1784
1.961,619,1.605,1789
1.969,822,1.611,1948
1.977,264,1.617,1874
1.984,-488,1.622,1928
1.992,-396,1.628,2143
2,57,1.634,2059
2.007,18,1.639,2158
2.015,-184,1.645,2239
2.023,-239,1.651,2261
2.03,-283,1.657,2422
2.038,-304,1.662,2495
2.046,-255,1.668,2564
2.054,-202,1.674,2624
2.061,-193,1.679,2644
2.069,-184,1.685,2712
2.077,-149,1.691,2792
2.084,-122,1.696,2814
2.092,-92,1.702,2870
2.1,-46,1.708,2825
2.107,-13,1.713,2886
2.115,6,1.719,2875
2.123,32,1.725,2861
2.13,59,1.73,2619
2.138,94,1.736,2534
2.146,131,1.743,2475
2.154,145,1.749,2203
2.161,126,1.754,2008
2.169,133,1.76,1836
2.177,158,1.766,1448
2.185,156,1.771,1331
2.192,140,1.777,1097
2.2,64,1.783,729
2.208,-32,1.788,452
2.215,-46,1.794,233
2.223,-39,1.8,69
2.231,-39,1.805,-74
2.238,-43,1.811,-358
2.246,-101,1.817,-608
2.254,-161,1.822,-643
2.261,-179,1.828,-871
2.269,-184,1.834,-912
2.277,-154,1.84,-783
2.285,-112,1.845,-1041
2.292,-92,1.851,-1070
2.3,-66,1.857,-1035
2.308,-25,1.862,-979
2.315,0,1.868,-929
2.323,13,1.874,-956
2.331,29,1.879,-839
2.338,-25,1.885,-919
2.346,-96,1.891,-776
2.354,-66,1.896,-740
2.361,-11,1.902,-562
2.369,13,1.908,-410
2.377,46,1.913,-419
2.385,69,1.919,-64
2.392,108,1.925,-129
2.4,128,1.93,60
2.408,82,1.936,162
2.415,32,1.942,318
2.423,-27,1.947,391
2.431,-99,1.953,414
2.438,-94,1.959,524
2.446,-48,1.965,530
2.454,-36,1.97,816
2.461,-41,1.976,842
2.469,-36,1.983,770
2.477,34,1.988,894
2.485,331,1.994,951
2.492,789,2,1045
2.5,796,2.006,1140
2.508,-29,2.011,1151
2.515,-702,2.017,1126
2.523,-380,2.023,1273
2.531,50,2.028,1162
2.538,-6,2.034,1248
2.546,-36,2.04,1265
2.554,48,2.045,1295
2.561,-20,2.051,1202
2.569,-99,2.057,1310
2.577,-69,2.062,1320
2.585,-66,2.068,1405
2.592,-110,2.074,1368
2.6,-131,2.079,1358
2.608,-131,2.085,1386
2.615,-108,2.091,1459
2.623,-64,2.096,1631
2.631,-29,2.102,1571
2.638,-16,2.108,1608
2.646,-4,2.113,1679
2.654,16,2.119,1858
2.661,46,2.125,1848
2.669,87,2.131,1836
2.677,119,2.136,1776
2.685,117,2.142,1942
2.692,105,2.148,2035
2.7,103,2.153,2101
2.708,119,2.159,2126
2.715,142,2.165,2130
2.723,126,2.17,2332
2.731,76,2.176,2386
2.738,-16,2.182,2446
2.746,-140,2.187,2532
2.754,-200,2.193,2492
2.762,-193,2.199,2644
2.769,-175,2.204,2594
2.777,-186,2.21,2837
2.785,-244,2.216,2905
2.792,-267,2.221,2979
2.8,-209,2.227,3044
2.808,-145,2.234,2945
2.815,-115,2.24,3023
2.823,-103,2.245,3061
2.831,-103,2.251,3161
2.839,-154,2.257,3071
2.846,-225,2.262,3087
2.854,-204,2.268,3027
2.862,-147,2.274,2857
2.869,-184,2.279,2649
2.877,-271,2.285,2585
2.885,-274,2.291,2321
2.892,-181,2.296,2161
2.9,-115,2.302,1988
2.908,-87,2.308,1746
2.915,-59,2.313,1269
2.923,-50,2.319,1027
2.931,-29,2.325,814
2.939,11,2.331,708
2.946,34,2.336,484
2.954,50,2.342,148
2.962,48,2.348,-217
2.969,11,2.353,-315
2.977,-2,2.359,-487
2.985,16,2.365,-564
2.992,0,2.37,-591
3,-25,2.376,-792
3.008,175,2.382,-878
3.015,626,2.387,-890
3.023,755,2.393,-880
3.031,82,2.399,-883
3.039,-575,2.404,-912
3.046,-343,2.41,-903
3.054,2,2.416,-912
3.062,-119,2.421,-732
3.069,-135,2.427,-767
3.077,13,2.433,-657
3.085,27,2.438,-604
3.092,18,2.444,-597
3.1,50,2.45,-450
3.108,57,2.456,-277
3.115,89,2.461,-233
3.123,145,2.468,-70
3.131,168,2.474,78
3.139,138,2.48,87
3.146,85,2.485,299
3.154,59,2.491,424
3.162,57,2.497,458
3.169,78,2.502,617
3.177,112,2.508,582
3.185,119,2.514,608
3.192,103,2.519,761
3.2,112,2.525,786
3.208,149,2.531,744
3.215,181,2.536,766
3.223,188,2.542,761
3.231,172,2.548,924
3.239,122,2.554,926
3.246,43,2.559,969
3.254,6,2.565,1026
3.262,11,2.571,1035
3.269,0,2.576,1030
3.277,-66,2.582,1053
3.285,-161,2.588,1022
3.292,-163,2.593,1008
3.3,-101,2.599,1127
3.308,-71,2.605,1134
3.316,-46,2.61,1144
3.323,-39,2.616,1163
3.331,-69,2.622,1128
3.339,-108,2.627,1188
3.346,-163,2.633,1149
3.354,-172,2.639,1291
3.362,-135,2.644,1213
3.37,-177,2.65,1411
3.377,-248,2.656,1514
3.385,-209,2.661,1543
3.393,-128,2.667,1482
3.4,-108,2.673,1680
3.408,-124,2.679,1703
3.416,-165,2.684,1604
3.423,-204,2.69,1701
3.431,-154,2.696,1870
3.439,-66,2.701,1935
3.446,-34,2.707,1822
3.454,-20,2.713,1870
3.462,-25,2.718,1915
3.47,-43,2.724,1935
3.477,-13,2.73,2106
3.485,13,2.735,2116
3.493,-11,2.741,2178
3.5,-29,2.747,2180
3.508,-27,2.752,2258
3.516,-41,2.758,2318
3.523,-13,2.765,2269
3.531,248,2.771,2336
3.539,688,2.776,2202
3.546,755,2.782,2252
3.554,62,2.788,2297
3.562,-557,2.793,2107
3.57,-283,2.799,2165
3.577,112,2.805,2016
3.585,25,2.81,1868
3.593,-80,2.816,1618
3.6,-76,2.822,1428
3.608,-101,2.828,1140
3.616,-71,2.833,825
3.623,0,2.839,613
3.631,34,2.845,331
3.639,50,2.85,72
3.646,57,2.856,-191
3.654,78,2.862,-279
3.662,115,2.867,-591
3.67,163,2.873,-843
3.677,204,2.879,-1000
3.685,202,2.884,-1318
3.693,165,2.89,-1329
3.7,142,2.896,-1586
3.708,140,2.901,-1687
3.716,128,2.907,-1778
3.723,124,2.913,-1838
3.731,124,2.918,-1896
3.739,80,2.924,-2031
3.746,25,2.93,-2138
3.754,34,2.935,-2063
3.762,41,2.941,-1976
3.77,-34,2.947,-1927
3.777,-133,2.953,-1863
3.785,-191,2.958,-1921
3.793,-195,2.964,-1741
3.8,-186,2.97,-1699
3.808,-170,2.975,-1521
3.816,-149,2.981,-1467
3.823,-147,2.987,-1365
3.831,-138,2.992,-1247
3.839,-135,2.998,-1092
3.846,-195,3.004,-1079
3.854,-262,3.009,-1018
3.862,-253,3.015,-990
3.87,-214,3.021,-791
3.877,-191,3.028,-682
3.885,-170,3.034,-653
3.893,-133,3.039,-487
3.9,-89,3.045,-413
3.908,-71,3.051,-477
3.916,-57,3.056,-395
3.924,-36,3.062,-334
3.931,-25,3.068,-442
3.939,-6,3.073,-389
3.947,-2,3.079,-448
3.954,-87,3.085,-297
3.962,-200,3.09,-309
3.97,-195,3.096,-272
3.977,-163,3.102,-124
3.985,-223,3.107,-105
3.993,-244,3.113,-112
4,-198,3.119,-103
4.008,-170,3.124,-110
4.016,-142,3.13,-203
4.024,-105,3.136,-123
4.031,-78,3.142,27
4.039,-62,3.147,-62
4.047,6,3.153,-47
4.054,324,3.159,-9
4.062,778,3.164,-50
4.07,771,3.17,-31
4.077,52,3.176,158
4.085,-485,3.181,228
4.093,-214,3.187,110
4.1,94,3.193,154
4.108,16,3.198,261
4.116,-18,3.204,407
4.124,39,3.21,336
4.131,-9,3.215,405
4.139,-85,3.221,555
4.147,-69,3.227,536
4.154,-16,3.232,738
4.162,0,3.238,676
4.17,20,3.244,732
4.177,57,3.249,833
4.185,69,3.255,902
4.193,99,3.261,1004
4.2,149,3.267,1004
4.208,170,3.272,1108
4.216,198,3.278,1311
4.224,230,3.284,1464
4.231,214,3.289,1459
4.239,207,3.295,1524
4.247,228,3.301,1571
4.254,211,3.306,1512
4.262,168,3.312,1419
4.27,135,3.318,1354
4.277,92,3.325,1330
4.285,55,3.33,1056
4.293,34,3.336,822
4.3,-25,3.342,848
4.308,-101,3.347,404
4.316,-177,3.353,196
4.324,-232,3.359,-5
4.331,-216,3.364,-289
4.339,-184,3.37,-560
4.347,-218,3.376,-856
4.354,-285,3.381,-1079
4.362,-322,3.387,-1284
4.37,-280,3.393,-1440
4.377,-216,3.398,-1618
4.385,-195,3.404,-1904
4.393,-179,3.41,-2081
4.4,-156,3.415,-2167
4.408,-145,3.421,-2380
4.416,-112,3.427,-2446
4.424,-66,3.433,-2397
4.431,-39,3.438,-2619
4.439,-23,3.444,-2590
4.447,-13,3.45,-2537
4.455,0,3.455,-2515
4.462,36,3.461,-2622
4.47,57,3.467,-2630
4.478,9,3.472,-2502
4.485,-50,3.478,-2483
4.493,-126,3.484,-2425
4.501,-251,3.489,-2210
4.508,-274,3.495,-2178
4.516,-193,3.501,-2146
4.524,-170,3.506,-2003
4.531,-172,3.512,-1764
4.539,-145,3.518,-1633
4.547,-119,3.523,-1596
4.555,-85,3.529,-1506
4.562,-55,3.535,-1389
4.57,-13,3.54,-1258
4.578,200,3.546,-1225
4.585,614,3.552,-1076
4.593,824,3.558,-951
4.601,327,3.563,-825
4.608,-370,3.569,-785
4.616,-285,3.576,-673
4.624,128,3.582,-625
4.631,110,3.587,-549
4.639,2,3.593,-488
4.647,52,3.599,-557
4.655,55,3.604,-429
4.662,23,3.61,-444
4.67,2,3.616,-510
4.678,-59,3.621,-357
4.685,-92,3.627,-284
4.693,-27,3.633,-347
4.701,29,3.638,-424
4.708,41,3.644,-402
4.716,41,3.65,-319
4.724,20,3.655,-209
4.731,23,3.661,-260
4.739,80,3.667,-167
4.747,135,3.672,-99
4.755,158,3.678,-110
4.762,161,3.684,32
4.77,161,3.689,146
4.778,193,3.695,103
4.785,232,3.701,229
4.793,260,3.707,270
4.801,253,3.712,375
4.808,179,3.718,410
4.816,99,3.724,535
4.824,43,3.729,528
4.831,-25,3.735,598
4.839,-82,3.741,728
4.847,-112,3.746,777
4.855,-198,3.752,1046
4.862,-327,3.758,1086
4.87,-352,3.763,1129
4.878,-280,3.769,1181
4.885,-246,3.775,1171
4.893,-267,3.78,1262
4.901,-329,3.786,1225
4.908,-361,3.792,1549
4.916,-301,3.797,1487
4.924,-237,3.803,1767
4.931,-209,3.809,1690
4.939,-186,3.814,1726
4.947,-191,3.82,1783
4.955,-179,3.826,1723
4.962,-142,3.832,1720
4.97,-156,3.838,1720
4.978,-168,3.844,1526
4.985,-133,3.85,1221
4.993,-115,3.855,1128
5.001,-96,3.861,869
5.009,-59,3.867,608
5.016,-36,3.872,489
5.024,-20,3.878,149
5.032,-59,3.884,-196
5.039,-161,3.889,-349
5.047,-181,3.895,-799
5.055,-99,3.901,-1052
5.062,-46,3.907,-1320
5.07,-32,3.912,-1586
5.078,-62,3.918,-1915
5.085,-163,3.924,-2109
5.093,-115,3.929,-2306
5.101,234,3.935,-2469
5.109,686,3.941,-2566
5.116,736,3.946,-2713
5.124,59,3.952,-2813
5.132,-538,3.958,-3026
5.139,-262,3.963,-3150
5.147,128,3.969,-3034
5.155,78,3.975,-3245
5.162,52,3.98,-2982
5.17,131,3.986,-3120
5.178,101,3.992,-3125
5.185,52,3.997,-3114
5.193,62,4.003,-3073
5.201,76,4.009,-2881
5.209,76,4.014,-2902
5.216,50,4.02,-2747
5.224,16,4.026,-2800
5.232,52,4.032,-2538
5.239,117,4.037,-2485
5.247,140,4.043,-2347
5.255,140,4.049,-2191
5.262,94,4.054,-2180
5.27,55,4.06,-2086
5.278,103,4.067,-1993
5.285,163,4.073,-1896
5.293,193,4.078,-1828
5.301,221,4.084,-1735
5.309,214,4.09,-1733
5.316,202,4.095,-1592
5.324,216,4.101,-1552
5.332,234,4.107,-1652
5.339,230,4.113,-1392
5.347,179,4.118,-1444
5.355,50,4.124,-1468
5.362,-135,4.13,-1346
5.37,-253,4.135,-1228
5.378,-255,4.141,-1163
5.385,-257,4.147,-1164
5.393,-315,4.152,-1020
5.401,-380,4.158,-1243
5.409,-380,4.164,-1196
5.416,-324,4.169,-1220
5.424,-287,4.175,-1215
5.432,-267,4.181,-1095
5.439,-241,4.186,-1052
5.447,-239,4.192,-922
5.455,-251,4.198,-899
5.462,-274,4.203,-866
5.47,-267,4.209,-1005
5.478,-214,4.215,-826
5.485,-193,4.22,-762
5.493,-188,4.226,-754
5.501,-149,4.232,-668
5.509,-101,4.238,-713
5.516,-55,4.243,-571
5.524,-23,4.249,-454
5.532,-9,4.255,-489
5.539,-13,4.26,-391
5.547,-39,4.266,-339
5.555,-34,4.272,-58
5.563,6,4.277,-116
5.57,2,4.283,53
5.578,-57,4.289,101
5.586,-82,4.294,135
5.593,-57,4.3,317
5.601,-52,4.306,365
5.609,6,4.311,510
5.616,257,4.317,494
5.624,608,4.323,538
5.632,658,4.328,682
5.64,43,4.334,711
5.647,-561,4.34,732
5.655,-320,4.345,803
5.663,78,4.351,838
5.67,11,4.357,673
5.678,-27,4.364,661
5.686,69,4.369,379
5.693,82,4.375,172
5.701,76,4.381,20
5.709,80,4.387,-131
5.716,62,4.392,-421
5.724,32,4.398,-716
5.732,2,4.404,-937
5.74,18,4.409,-1224
5.747,43,4.415,-1587
5.755,6,4.421,-1867
5.763,-32,4.426,-2096
5.77,4,4.432,-2318
5.778,50,4.438,-2587
5.786,71,4.443,-2680
5.793,105,4.449,-3091
5.801,135,4.455,-3261
5.809,154,4.46,-3333
5.816,181,4.466,-3417
5.824,195,4.472,-3584
5.832,204,4.477,-3615
5.84,223,4.483,-3632
5.847,200,4.489,-3753
5.855,172,4.494,-3782
5.863,131,4.5,-3775
5.87,11,4.506,-3762
5.878,-80,4.512,-3719
5.886,-87,4.517,-3627
5.893,-124,4.523,-3591
5.901,-186,4.529,-3586
5.909,-214,4.534,-3384
5.916,-237,4.54,-3335
5.924,-251,4.546,-3267
5.932,-278,4.551,-3186
5.94,-345,4.557,-3060
5.947,-377,4.563,-2837
5.955,-375,4.568,-2665
5.963,-393,4.574,-2656
5.97,-375,4.58,-2456
5.978,-329,4.585,-2435
5.986,-313,4.591,-2185
5.993,-278,4.597,-2162
6.001,-230,4.602,-2006
6.009,-209,4.608,-1944
6.016,-179,4.614,-1793
6.024,-149,4.619,-1701
6.032,-124,4.627,-1827
6.04,-78,4.632,-1639
6.047,-59,4.638,-1631
6.055,-66,4.644,-1498
6.063,-66,4.649,-1436
6.07,-62,4.655,-1373
6.078,-62,4.661,-1431
6.086,-48,4.666,-1359
6.093,-13,4.672,-1271
6.101,4,4.678,-1329
6.109,-36,4.683,-1274
6.117,-73,4.689,-1051
6.124,99,4.695,-1166
6.132,550,4.7,-1120
6.14,806,4.706,-1076
6.147,292,4.712,-956
6.155,-476,4.717,-956
6.163,-497,4.723,-975
6.17,-85,4.729,-810
6.178,-11,4.734,-709
6.186,-80,4.74,-705
6.194,-32,4.746,-690
6.201,-55,4.752,-634
6.209,-117,4.757,-662
6.217,-57,4.763,-586
6.224,25,4.769,-501
6.232,41,4.774,-379
6.24,57,4.78,-335
6.247,69,4.786,-43
6.255,41,4.791,-48
6.263,16,4.797,-66
6.27,52,4.803,200
6.278,105,4.808,223
6.286,108,4.814,272
6.294,112,4.82,401
6.301,147,4.825,467
6.309,184,4.831,658
6.317,223,4.837,804
6.324,244,4.842,1010
6.332,225,4.848,964
6.34,170,4.854,1061
6.347,115,4.859,1107
6.355,126,4.865,1172
6.363,128,4.871,1154
6.37,18,4.877,1007
6.378,-115,4.882,1107
6.386,-147,4.888,1003
6.394,-126,4.894,714
6.401,-110,4.899,566
6.409,-85,4.906,331
6.417,-78,4.912,82
6.424,-133,4.917,-298
6.432,-195,4.923,-581
6.44,-246,4.929,-972
6.447,-308,4.935,-1097
6.455,-315,4.94,-1432
6.463,-285,4.946,-1747
6.47,-333,4.952,-1957
6.478,-414,4.957,-2160
6.486,-407,4.963,-2440
6.494,-327,4.969,-2668
6.501,-278,4.974,-2853
6.509,-271,4.98,-3022
6.517,-255,4.986,-3290
6.524,-230,4.991,-3330
6.532,-193,4.997,-3590
6.54,-133,5.003,-3342
6.547,-94,5.008,-3604
6.555,-85,5.014,-3702
6.563,-99,5.02,-3752
6.57,-115,5.025,-3633
6.578,-85,5.031,-3737
6.586,-41,5.037,-3678
6.594,-6,5.042,-3526
6.601,13,5.048,-3589
6.609,-9,5.054,-3413
6.617,-50,5.06,-3283
6.624,-29,5.065,-3140
6.632,179,5.071,-3035
6.64,610,5.077,-3027
6.647,877,5.082,-2765
6.655,386,5.088,-2768
6.663,-437,5.094,-2774
6.67,-449,5.099,-2431
6.678,55,5.105,-2370
6.686,101,5.111,-2183
6.694,-94,5.116,-2102
6.701,-145,5.122,-2073
6.709,-158,5.128,-1961
6.717,-128,5.133,-1769
6.725,-52,5.139,-1711
6.732,-2,5.146,-1723
6.74,13,5.152,-1472
6.748,11,5.157,-1506
6.755,43,5.163,-1362
6.763,105,5.169,-1415
6.771,138,5.174,-1319
6.778,138,5.18,-1170
6.786,108,5.186,-1311
6.794,73,5.192,-1143
6.801,85,5.197,-1162
6.809,126,5.203,-1054
6.817,172,5.209,-1051
6.825,198,5.214,-926
6.832,165,5.22,-937
6.84,85,5.226,-897
6.848,66,5.231,-641
6.855,122,5.237,-675
6.863,145,5.243,-491
6.871,96,5.248,-503
6.878,-4,5.254,-470
6.886,-99,5.26,-447
6.894,-94,5.265,-380
6.901,-55,5.271,-306
6.909,-50,5.277,-173
6.917,-32,5.282,-81
6.925,-27,5.288,-34
6.932,-73,5.294,80
6.94,-124,5.299,277
6.948,-163,5.305,280
6.955,-168,5.311,370
6.963,-204,5.317,446
6.971,-338,5.322,568
6.978,-416,5.328,733
6.986,-361,5.334,803
6.994,-306,5.339,864
7.001,-280,5.345,1148
7.009,-246,5.351,1233
7.017,-244,5.356,1233
7.025,-255,5.362,1415
7.032,-214,5.368,1432
7.04,-147,5.373,1555
7.048,-112,5.379,1588
7.055,-82,5.385,1815
7.063,-78,5.39,1784
7.071,-94,5.396,1668
7.078,-69,5.402,1731
7.086,-39,5.407,1553
7.094,-25,5.414,1520
7.101,0,5.42,1297
7.109,0,5.426,1133
7.117,-4,5.431,861
7.125,13,5.437,517
7.132,27,5.443,275
7.14,71,5.448,-44
7.148,253,5.454,-143
7.155,608,5.46,-464
7.163,755,5.466,-944
7.171,172,5.471,-1113
7.178,-555,5.477,-1457
7.186,-446,5.483,-1715
7.194,-39,5.488,-1955
7.201,-46,5.494,-2188
7.209,-94,5.5,-2395
7.217,13,5.505,-2510
7.225,55,5.511,-2544
7.232,66,5.517,-2726
7.24,117,5.522,-2836
7.248,133,5.528,-2914
7.255,128,5.534,-3010
7.263,165,5.539,-2970
7.271,218,5.545,-3008
7.279,255,5.551,-3108
7.286,264,5.556,-3003
7.294,262,5.562,-3015
7.302,234,5.568,-2938
7.309,209,5.573,-2876
7.317,232,5.579,-2875
7.325,202,5.585,-2680
7.332,59,5.591,-2588
7.34,-16,5.596,-2525
7.348,23,5.602,-2322
7.355,64,5.608,-2264
7.363,85,5.613,-2081
7.371,85,5.619,-1908
7.379,11,5.625,-1773
7.386,-76,5.63,-1602
7.394,-85,5.636,-1613
7.402,-73,5.642,-1387
7.409,-82,5.647,-1120
7.417,-82,5.653,-1071
7.425,-105,5.659,-1199
7.432,-163,5.664,-956
7.44,-191,5.67,-919
7.448,-154,5.677,-862
7.455,-96,5.683,-720
7.463,-99,5.689,-700
7.471,-140,5.694,-614
7.479,-142,5.7,-610
7.486,-168,5.706,-608
7.494,-216,5.711,-444
7.502,-221,5.717,-519
7.509,-264,5.723,-465
7.517,-327,5.728,-460
7.525,-304,5.734,-375
7.532,-260,5.74,-303
7.54,-237,5.745,-271
7.548,-198,5.751,-59
7.555,-165,5.757,-200
7.563,-147,5.762,-50
7.571,-122,5.768,-56
7.579,-101,5.774,13
7.586,-92,5.779,107
7.594,-73,5.785,123
7.602,-64,5.791,233
7.609,-55,5.796,328
7.617,-25,5.802,385
7.625,-11,5.808,504
7.632,0,5.814,462
7.64,27,5.819,564
7.648,16,5.825,548
7.655,52,5.831,697
7.663,327,5.836,740
7.671,776,5.842,902
7.679,879,5.848,1037
7.686,108,5.853,1174
7.694,-753,5.859,1187
7.702,-559,5.865,1359
7.709,-36,5.87,1384
7.717,-55,5.876,1394
7.725,-112,5.882,1628
7.732,4,5.887,1699
7.74,23,5.893,1832
7.748,20,5.899,1894
7.755,94,5.904,1884
7.763,122,5.91,1990
7.771,117,5.916,1738
7.779,152,5.921,1765
7.786,186,5.927,1655
7.794,223,5.933,1639
7.802,262,5.939,1245
7.81,271,5.944,1000
7.817,283,5.95,829
7.825,276,5.957,531
7.833,241,5.963,264
7.84,262,5.968,-156
7.848,285,5.974,-378
7.856,257,5.98,-580
7.863,248,5.985,-991
7.871,251,5.991,-1316
7.879,170,5.997,-1458
7.886,64,6.002,-1771
7.894,57,6.008,-1871
7.902,71,6.014,-1994
7.91,39,6.019,-2248
